physiology	rank	method	attribute	mean	sd
shape	all	phytools-ltp	bacillus	0.456148609850938	0.072879541268295
shape	all	phytools-ltp	coccobacillus	-0.00169689462468137	0.00278829985577536
shape	all	phytools-ltp	coccus	0.625795072493674	0.0896689052928823
shape	all	phytools-ltp	elliptic	0.182551125364507	0.302683570966503
shape	all	phytools-ltp	filamentous	0.167172338532257	0.233870019578322
shape	all	phytools-ltp	spirillum	0.697262065970204	0.159209734697113
shape	all	phytools-ltp	tail	1	7.40148683083438e-17
shape	genus	phytools-ltp	bacillus	0.1844965325307	0.0815726136720579
shape	genus	phytools-ltp	coccobacillus	0	0
shape	genus	phytools-ltp	coccus	0.36652953198366	0.111036469749368
shape	genus	phytools-ltp	elliptic	0.122767430187294	0.273369651463688
shape	genus	phytools-ltp	filamentous	0.0572077553547355	0.180906806746658
shape	genus	phytools-ltp	spirillum	0.233454676187107	0.319759548640815
shape	species	phytools-ltp	bacillus	0.96459282843419	0.0636788741453523
shape	species	phytools-ltp	coccus	0.793730514895833	0.151597088678376
shape	species	phytools-ltp	spirillum	1	1.88701628900123e-16
shape	species	phytools-ltp	tail	1	1.33432201416224e-16
shape	strain	phytools-ltp	bacillus	0.68281148069075	0.100416974263697
shape	strain	phytools-ltp	coccus	0.624761311519766	0.198365129015831
shape	strain	phytools-ltp	filamentous	0.267382175828601	0.443867172885619
shape	strain	phytools-ltp	spirillum	0.420238470414621	0.454431137603004
